,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Touros,BR,86.65,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
7,Hermanus,ZA,72.81,clear sky,-34.4187,19.2345,Aloe guest house
8,Clearwater,US,76.14,clear sky,27.9659,-82.8001,The Fort Harrison Hotel
21,Rikitea,PF,78.75,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
24,Tomatlan,MX,72.28,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
25,Isiro,CD,89.1,overcast clouds,2.7739,27.616,Hôtel Magbetu
26,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
27,Cidreira,BR,80.82,clear sky,-30.1811,-50.2056,Hotel Castelo
29,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Page 63 hostel
36,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
37,Antofagasta,CL,72.68,scattered clouds,-23.65,-70.4,Hotel Colón
39,Calabozo,VE,87.49,clear sky,8.9242,-67.4293,Hotel Plaza Real
43,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
45,San Cristobal,VE,71.78,few clouds,7.7669,-72.225,Terra Sur
48,Bubaque,GW,80.01,broken clouds,11.2833,-15.8333,Chez Julio
50,Vaini,TO,78.96,shower rain,-21.2,-175.2,Keleti International Resort
52,Rio Gallegos,AR,71.65,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
55,Namatanai,PG,80.38,broken clouds,-3.6667,152.4333,Namatanai Hotel
58,Pirenopolis,BR,86.49,overcast clouds,-15.8525,-48.9592,Pousada das Cavalhadas
59,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
61,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
63,Parrita,CR,83.07,broken clouds,9.5201,-84.3225,Hotel Paraíso Carlisa
64,Port Elizabeth,ZA,76.1,scattered clouds,-33.918,25.5701,Waterford Hotel
66,Atuona,PF,78.31,broken clouds,-9.8,-139.0333,Pearl Resort
67,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
82,Hilo,US,77.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
83,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Grand Bel Air
89,Bredasdorp,ZA,74.3,clear sky,-34.5322,20.0403,Victoria Hotel
